Date,Open,High,Low,Close,Adj Close,OpenY,HighY,LowY,OpenYY,HighYY,LowYY
11/29/2023,"2,041.24","2,052.09","2,035.05","2,044.59","2,044.59","2,013.94","2,043.00","2,011.60","2,002.78","2,018.14","2,000.67"
11/28/2023,"2,013.94","2,043.00","2,011.60","2,040.89","2,040.89","2,002.78","2,018.14","2,000.67","1,994.06","2,003.68","1,991.40"
11/27/2023,"2,002.78","2,018.14","2,000.67","2,013.64","2,013.64","1,994.06","2,003.68","1,991.40","1,990.15","1,999.19","1,989.01"
11/24/2023,"1,994.06","2,003.68","1,991.40","2,001.97","2,001.97","1,990.15","1,999.19","1,989.01","1,998.69","2,006.90","1,986.89"
11/23/2023,"1,990.15","1,999.19","1,989.01","1,991.79","1,991.79","1,998.69","2,006.90","1,986.89","1,977.49","2,007.52","1,977.34"
11/22/2023,"1,998.69","2,006.90","1,986.89","1,989.72","1,989.72","1,977.49","2,007.52","1,977.34","1,980.39","1,985.26","1,965.20"
11/21/2023,"1,977.49","2,007.52","1,977.34","1,998.37","1,998.37","1,980.39","1,985.26","1,965.20","1,981.21","1,993.94","1,978.59"
11/20/2023,"1,980.39","1,985.26","1,965.20","1,977.19","1,977.19","1,981.21","1,993.94","1,978.59","1,959.44","1,988.03","1,956.49"
11/17/2023,"1,981.21","1,993.94","1,978.59","1,980.01","1,980.01","1,959.44","1,988.03","1,956.49","1,963.05","1,975.59","1,955.41"
11/16/2023,"1,959.44","1,988.03","1,956.49","1,980.85","1,980.85","1,963.05","1,975.59","1,955.41","1,946.19","1,970.84","1,943.40"
11/15/2023,"1,963.05","1,975.59","1,955.41","1,959.09","1,959.09","1,946.19","1,970.84","1,943.40","1,937.05","1,949.27","1,931.73"
11/14/2023,"1,946.19","1,970.84","1,943.40","1,962.67","1,962.67","1,937.05","1,949.27","1,931.73","1,958.40","1,960.93","1,933.18"
11/13/2023,"1,937.05","1,949.27","1,931.73","1,945.89","1,945.89","1,958.40","1,960.93","1,933.18","1,950.09","1,965.69","1,944.30"
11/10/2023,"1,958.40","1,960.93","1,933.18","1,936.79","1,936.79","1,950.09","1,965.69","1,944.30","1,968.84","1,971.12","1,947.48"
11/9/2023,"1,950.09","1,965.69","1,944.30","1,958.19","1,958.19","1,968.84","1,971.12","1,947.48","1,978.19","1,978.75","1,956.20"
11/8/2023,"1,968.84","1,971.12","1,947.48","1,949.79","1,949.79","1,978.19","1,978.75","1,956.20","1,992.30","1,993.30","1,977.52"
11/7/2023,"1,978.19","1,978.75","1,956.20","1,968.40","1,968.40","1,992.30","1,993.30","1,977.52","1,985.69","2,004.06","1,983.26"
11/6/2023,"1,992.30","1,993.30","1,977.52","1,977.68","1,977.68","1,985.69","2,004.06","1,983.26","1,983.53","1,991.49","1,978.90"
11/3/2023,"1,985.69","2,004.06","1,983.26","1,992.27","1,992.27","1,983.53","1,991.49","1,978.90","1,983.01","1,992.09","1,969.90"
11/2/2023,"1,983.53","1,991.49","1,978.90","1,985.51","1,985.51","1,983.01","1,992.09","1,969.90","1,996.00","2,007.80","1,978.90"
11/1/2023,"1,983.01","1,992.09","1,969.90","1,982.15","1,982.15","1,996.00","2,007.80","1,978.90","2,004.80","2,007.37","1,990.50"
10/31/2023,"1,996.00","2,007.80","1,978.90","1,982.70","1,982.70","2,004.80","2,007.37","1,990.50","1,985.17","2,009.48","1,976.35"
10/30/2023,"2,004.80","2,007.37","1,990.50","1,995.88","1,995.88","1,985.17","2,009.48","1,976.35","1,979.97","1,994.05","1,971.60"
10/27/2023,"1,985.17","2,009.48","1,976.35","2,005.78","2,005.78","1,979.97","1,994.05","1,971.60","1,971.36","1,987.19","1,963.34"
10/26/2023,"1,979.97","1,994.05","1,971.60","1,984.82","1,984.82","1,971.36","1,987.19","1,963.34","1,972.97","1,980.99","1,953.50"
10/25/2023,"1,971.36","1,987.19","1,963.34","1,979.62","1,979.62","1,972.97","1,980.99","1,953.50","1,972.90","1,983.40","1,964.36"
10/24/2023,"1,972.97","1,980.99","1,953.50","1,970.11","1,970.11","1,972.90","1,983.40","1,964.36","1,974.31","1,997.27","1,971.93"
10/23/2023,"1,972.90","1,983.40","1,964.36","1,972.59","1,972.59","1,974.31","1,997.27","1,971.93","1,947.99","1,977.86","1,945.18"
